Epoch Number,Max,Min,Mean,Std Dev
746,4,0,0.492,0.751128
747,4,0,0.492,0.751128
748,4,0,0.492,0.751128
749,4,0,0.492,0.751128
750,4,0,0.492,0.751128
751,4,0,0.492,0.751128
752,4,0,0.492,0.751128
753,4,0,0.492,0.751128
754,4,0,0.492,0.751128
755,4,0,0.492,0.751128
756,4,0,0.492,0.751128
757,4,0,0.492,0.751128
758,4,0,0.492,0.751128
759,4,0,0.492,0.751128
760,4,0,0.492,0.751128
761,4,0,0.492,0.751128
762,4,0,0.496,0.75116
763,4,0,0.5,0.75117
764,4,0,0.5,0.75117
765,4,0,0.5,0.75117
766,4,0,0.5,0.75117
767,4,0,0.5,0.75117
768,4,0,0.5,0.75117
769,4,0,0.5,0.75117
770,4,0,0.5,0.75117
771,4,0,0.5,0.75117
772,4,0,0.5,0.75117
773,4,0,0.5,0.75117
774,4,0,0.5,0.75117
775,4,0,0.5,0.75117
776,4,0,0.5,0.75117
777,4,0,0.5,0.75117
778,4,0,0.5,0.75117
779,4,0,0.5,0.75117
780,4,0,0.5,0.75117
781,4,0,0.5,0.75117
782,4,0,0.504,0.75116
783,4,0,0.504,0.75116
784,4,0,0.504,0.75116
785,4,0,0.504,0.75116
786,4,0,0.504,0.75116
787,4,0,0.504,0.75116
788,4,0,0.504,0.75116
789,4,0,0.508,0.756455
790,4,0,0.508,0.756455
791,4,0,0.512,0.756402
792,4,0,0.516,0.756328
793,4,0,0.516,0.756328
794,4,0,0.516,0.756328
795,4,0,0.516,0.756328
796,4,0,0.516,0.756328
797,4,0,0.516,0.756328
798,4,0,0.52,0.756232
799,4,0,0.524,0.761409
800,4,0,0.528,0.77175
801,4,0,0.528,0.77175
802,4,0,0.532,0.771594
803,4,0,0.536,0.771417
804,4,0,0.54,0.776409
805,4,0,0.544,0.786472
806,4,0,0.544,0.786472
807,4,0,0.544,0.786472
808,4,0,0.544,0.786472
809,4,0,0.548,0.791329
810,4,0,0.548,0.791329
811,4,0,0.552,0.796135
812,4,0,0.556,0.795863
813,4,0,0.556,0.795863
814,4,0,0.556,0.795863
815,4,0,0.556,0.795863
816,4,0,0.556,0.795863
817,4,0,0.556,0.795863
818,4,0,0.556,0.795863
819,4,0,0.556,0.795863
820,4,0,0.56,0.79557
821,4,0,0.56,0.79557
822,4,0,0.56,0.79557
823,4,0,0.56,0.79557
824,4,0,0.56,0.79557
825,4,0,0.56,0.79557
826,4,0,0.56,0.79557
827,4,0,0.56,0.79557
828,4,0,0.56,0.79557
829,4,0,0.56,0.79557
830,4,0,0.56,0.79557
831,4,0,0.56,0.79557
832,4,0,0.56,0.79557
833,4,0,0.56,0.79557
834,4,0,0.56,0.79557
835,4,0,0.56,0.79557
836,4,0,0.56,0.79557
837,4,0,0.56,0.79557
838,4,0,0.56,0.79557
839,4,0,0.56,0.79557
840,4,0,0.56,0.79557
841,4,0,0.56,0.79557
842,4,0,0.56,0.79557
843,4,0,0.56,0.79557
844,4,0,0.56,0.79557
845,4,0,0.56,0.79557
846,4,0,0.56,0.79557
847,4,0,0.56,0.79557
848,4,0,0.56,0.79557
849,4,0,0.56,0.79557
850,4,0,0.56,0.79557
851,4,0,0.564,0.800291
852,4,0,0.564,0.800291
853,4,0,0.564,0.800291
854,4,0,0.564,0.800291
855,4,0,0.564,0.800291
856,4,0,0.564,0.800291
857,4,0,0.564,0.800291
858,4,0,0.564,0.800291
859,4,0,0.568,0.804965
860,4,0,0.568,0.804965
861,4,0,0.568,0.804965
862,4,0,0.568,0.804965
863,4,0,0.568,0.804965
864,4,0,0.568,0.804965
865,4,0,0.572,0.814537
866,4,0,0.572,0.814537
867,4,0,0.572,0.814537
868,4,0,0.576,0.823978
869,4,0,0.58,0.823598
870,4,0,0.584,0.823198
871,4,0,0.588,0.827645
872,4,0,0.588,0.827645
873,4,0,0.588,0.827645
874,4,0,0.588,0.827645
875,4,0,0.588,0.827645
876,4,0,0.588,0.827645
877,4,0,0.588,0.827645
878,4,0,0.588,0.827645
879,4,0,0.588,0.827645
880,4,0,0.588,0.827645
881,4,0,0.588,0.827645
882,4,0,0.588,0.827645
883,4,0,0.592,0.836862
884,4,0,0.592,0.836862
885,4,0,0.592,0.836862
886,4,0,0.592,0.836862
887,4,0,0.592,0.836862
888,4,0,0.592,0.836862
889,4,0,0.592,0.836862
890,4,0,0.592,0.836862
891,4,0,0.592,0.836862
892,4,0,0.592,0.836862
893,4,0,0.592,0.836862
894,4,0,0.592,0.836862
895,4,0,0.592,0.836862
896,4,0,0.596,0.841198
897,4,0,0.596,0.841198
898,4,0,0.596,0.841198
899,4,0,0.596,0.841198
900,4,0,0.596,0.841198
901,4,0,0.596,0.841198
902,4,0,0.596,0.841198
903,4,0,0.596,0.841198
904,4,0,0.596,0.841198
905,4,0,0.596,0.841198
906,4,0,0.596,0.841198
907,4,0,0.596,0.841198
908,4,0,0.596,0.841198
909,4,0,0.596,0.841198
910,4,0,0.596,0.841198
911,4,0,0.596,0.841198
912,4,0,0.596,0.841198
913,4,0,0.596,0.841198
914,4,0,0.596,0.841198
915,4,0,0.596,0.841198
916,4,0,0.596,0.841198
917,4,0,0.596,0.841198
918,4,0,0.596,0.841198
919,4,0,0.596,0.841198
920,4,0,0.596,0.841198
921,4,0,0.596,0.841198
922,4,0,0.596,0.841198
923,4,0,0.596,0.841198
924,4,0,0.596,0.841198
925,4,0,0.596,0.841198
926,4,0,0.596,0.841198
927,4,0,0.596,0.841198
928,4,0,0.596,0.841198
929,4,0,0.6,0.845494
